time,10H,12H,14H,16H,max
2013-10-01,1.5382498057e-05,1.97056304106e-05,1.10946017115e-05,2.46837908359e-06,2.04124050165e-05
2013-10-02,1.66163407817e-05,2.20981900431e-05,1.32719815866e-05,2.76726145469e-06,2.20981900431e-05
2013-10-03,1.32753947543e-05,1.83438963307e-05,1.08859759675e-05,2.25890828281e-06,1.83438963307e-05
2013-10-04,1.12717358519e-05,1.57543852725e-05,9.21318715116e-06,1.85957813304e-06,1.57543852725e-05
2013-10-05,1.30274362885e-05,1.74871497282e-05,1.06141193754e-05,2.07282873534e-06,1.74871497282e-05
2013-10-06,1.33247079498e-05,1.84738266776e-05,1.10924654931e-05,2.21276717737e-06,1.84738266776e-05
2013-10-07,1.22458072979e-05,1.70510732239e-05,9.8301014523e-06,1.80714593876e-06,1.70510732239e-05
2013-10-08,3.70481562003e-06,8.30765766038e-06,5.19961659469e-06,6.58169609418e-07,1.05006755951e-05
2013-10-09,1.24147327989e-05,8.40949800176e-06,8.95001731677e-06,8.80624053394e-07,1.45550835021e-05
2013-10-10,1.2062074101e-05,1.08217454372e-05,7.82493131161e-06,1.75117480111e-06,1.2062074101e-05
2013-10-11,1.33498226346e-05,1.73655296917e-05,9.39989133574e-06,2.05218765948e-06,1.73655296917e-05
2013-10-12,1.26195653383e-05,1.55033592171e-05,9.97444501327e-06,1.58701791801e-06,1.57560787439e-05
2013-10-13,1.02157900828e-05,1.23490145736e-05,8.76152740507e-06,1.68634710471e-06,1.3889723022e-05
2013-10-14,8.63675554978e-06,8.83004065994e-06,5.06619168029e-06,1.29412981852e-06,1.10154545752e-05
2013-10-15,1.26635323017e-05,1.2801924343e-05,1.03480120169e-05,1.83437234851e-06,1.2937904726e-05
2013-10-16,9.23899347491e-06,9.86854862839e-06,4.82157610163e-06,8.37319134274e-07,9.86854862839e-06
2013-10-17,9.83291412894e-06,1.38669494621e-05,8.22745480478e-06,1.08281481566e-06,1.38669494621e-05
2013-10-18,9.14121001265e-06,1.24039265014e-05,6.99891949422e-06,1.26568660915e-06,1.24039265014e-05
2013-10-19,8.24248050624e-06,1.27550719539e-05,8.32441812373e-06,1.4940350494e-06,1.27550719539e-05
2013-10-20,1.11049551011e-05,1.43830028217e-05,7.92938559876e-06,1.44715732674e-06,1.43830028217e-05
2013-10-21,1.13015464799e-05,1.52005189326e-05,7.79236694951e-06,1.3703136704e-06,1.52005189326e-05
2013-10-22,1.19162792061e-05,1.5155697254e-05,8.96827638225e-06,1.41712365023e-06,1.5155697254e-05
2013-10-23,1.04344748755e-05,1.41113871835e-05,8.25659520832e-06,1.48191833476e-06,1.41113871835e-05
2013-10-24,1.07142357631e-05,1.47812637727e-05,8.53013895476e-06,1.43347130419e-06,1.47812637727e-05
2013-10-25,1.01959128104e-05,1.38346878828e-05,7.5634170404e-06,1.24094660612e-06,1.38346878828e-05
2013-10-26,9.18782494292e-06,1.23780176474e-05,6.94482875998e-06,1.1240694642e-06,1.23780176474e-05
2013-10-27,9.19410253199e-06,1.09679564649e-05,6.77133925474e-06,1.10629234068e-06,1.17617737269e-05
2013-10-28,7.74332421048e-06,1.11066740389e-05,6.78589297315e-06,9.358431079e-07,1.11066740389e-05
2013-10-29,7.11370469985e-06,9.26421987418e-06,5.9445816288e-06,8.32937537637e-07,9.26421987418e-06
2013-10-30,9.56756567219e-06,1.26680271528e-05,5.54713443512e-06,8.62725686625e-07,1.26680271528e-05
2013-10-31,8.5857600643e-06,1.11562345755e-05,6.49645643397e-06,1.1230828341e-06,1.11562345755e-05
2013-11-01,9.67896924495e-06,1.32828016276e-05,6.89630422872e-06,1.13444589734e-06,1.32828016276e-05
2013-11-02,6.56759407133e-06,1.12429267817e-05,5.8223138338e-06,7.55197587978e-07,1.25056819948e-05
2013-11-03,9.88701628945e-06,1.22305990604e-05,4.95293883082e-06,4.33697567327e-07,1.22305990604e-05
2013-11-04,3.78468239646e-06,6.20164483012e-06,3.68123104028e-06,7.32668983807e-07,6.20164483012e-06
2013-11-05,2.17373899827e-06,5.88658017475e-06,3.75691795119e-06,7.0808676528e-07,5.88658017475e-06
2013-11-06,7.74508727645e-06,1.55907739537e-05,8.5844729954e-06,9.24067832726e-07,1.55907739537e-05
2013-11-07,9.98959745343e-06,1.32977289326e-05,6.84092400521e-06,1.09165643414e-06,1.32977289326e-05
2013-11-08,,,,,
2013-11-09,,,,,
2013-11-10,,,,,
2013-11-11,,,,,
2013-11-12,,,,,
2013-11-13,,,,,
2013-11-14,,,,,
2013-11-15,1.25894188587e-05,,,,1.25894188587e-05
2013-11-16,,,,,
2013-11-17,1.0938367134e-05,1.46869958674e-05,7.33653346667e-06,1.04286342136e-06,1.48651741765e-05
2013-11-18,,,,,
2013-11-19,,,,,
2013-11-20,,,,,
2013-11-21,,,,,
2013-11-22,,,,,
2013-11-23,,,,,
2013-11-24,,,,,
2013-11-25,,,,,
2013-11-26,,,,,
2013-11-27,,,,,
2013-11-28,,,,,
2013-11-29,,,,,
2013-11-30,,,,,
2013-12-01,,1.51366591723e-05,8.6740872271e-06,1.31776533536e-06,1.51366591723e-05
2013-12-02,1.02840641388e-05,1.54190751142e-05,9.16596464305e-06,1.38043375506e-06,1.54190751142e-05
2013-12-03,9.31162167593e-06,1.41258420494e-05,8.1502706305e-06,1.22475309272e-06,1.41258420494e-05
2013-12-04,6.20956803146e-06,,,,6.20956803146e-06
2014-01-21,3.34166066186e-06,1.45163980444e-06,6.74983990239e-06,1.24171754125e-05,3.34166066186e-06
2014-01-22,8.33776574047e-06,1.55383287036e-06,6.13461141406e-06,1.05851144316e-05,1.24171754125e-05
2014-01-23,6.84483424249e-06,1.42475455615e-06,6.22247537858e-06,1.22402615702e-05,1.05851144316e-05
2014-01-24,7.83907537938e-06,1.55706044808e-06,3.51086181477e-06,6.75857532217e-06,1.22402615702e-05
2014-01-25,6.30832374889e-06,1.54670676337e-06,6.46461726403e-06,1.15505944911e-05,7.41316244845e-06
2014-01-26,6.95410708575e-06,1.19259489455e-06,5.26919553806e-06,1.01191236409e-05,1.15505944911e-05
2014-01-27,6.97939034217e-06,1.53169449898e-06,5.0122531281e-06,9.58986075245e-06,1.01191236409e-05
2014-01-28,7.67511678667e-06,1.72665008445e-06,6.93974318848e-06,1.1450247367e-05,9.58986075245e-06
2014-01-29,8.36457367254e-06,1.95379588903e-06,6.7883370646e-06,1.08814649065e-05,1.16195368106e-05
2014-01-30,8.05764123902e-06,1.77017057634e-06,8.16959810725e-06,1.43687789259e-05,1.08814649065e-05
2014-01-31,1.05990149372e-05,2.09158583844e-06,9.09061982951e-06,1.38672259209e-05,1.43687789259e-05
2014-02-01,6.04910644614e-06,2.48577028041e-06,8.55305417702e-06,9.7913519344e-06,1.38672259209e-05
2014-02-02,8.3930180198e-06,2.38133676976e-06,8.2333081917e-06,1.42155111203e-05,1.16490272275e-05
